cx,cy,w,h
0.02631578947368421,0.02631578947368421,0.2,0.2
0.02631578947368421,0.02631578947368421,0.260768096208,0.260768096208
0.02631578947368421,0.02631578947368421,0.282842712475,0.141421356237
0.02631578947368421,0.02631578947368421,0.346410161514,0.115470053838
0.02631578947368421,0.02631578947368421,0.141421356237,0.282842712475
0.02631578947368421,0.02631578947368421,0.115470053838,0.346410161514
0.07894736842105263,0.02631578947368421,0.2,0.2
0.07894736842105263,0.02631578947368421,0.260768096208,0.260768096208
0.07894736842105263,0.02631578947368421,0.282842712475,0.141421356237
0.07894736842105263,0.02631578947368421,0.346410161514,0.115470053838
0.07894736842105263,0.02631578947368421,0.141421356237,0.282842712475
0.07894736842105263,0.02631578947368421,0.115470053838,0.346410161514
0.13157894736842105,0.02631578947368421,0.2,0.2
0.13157894736842105,0.02631578947368421,0.260768096208,0.260768096208
0.13157894736842105,0.02631578947368421,0.282842712475,0.141421356237
0.13157894736842105,0.02631578947368421,0.346410161514,0.115470053838
0.13157894736842105,0.02631578947368421,0.141421356237,0.282842712475
0.13157894736842105,0.02631578947368421,0.115470053838,0.346410161514
0.18421052631578946,0.02631578947368421,0.2,0.2
0.18421052631578946,0.02631578947368421,0.260768096208,0.260768096208
0.18421052631578946,0.02631578947368421,0.282842712475,0.141421356237
0.18421052631578946,0.02631578947368421,0.346410161514,0.115470053838
0.18421052631578946,0.02631578947368421,0.141421356237,0.282842712475
0.18421052631578946,0.02631578947368421,0.115470053838,0.346410161514
0.23684210526315788,0.02631578947368421,0.2,0.2
0.23684210526315788,0.02631578947368421,0.260768096208,0.260768096208
0.23684210526315788,0.02631578947368421,0.282842712475,0.141421356237
0.23684210526315788,0.02631578947368421,0.346410161514,0.115470053838
0.23684210526315788,0.02631578947368421,0.141421356237,0.282842712475
0.23684210526315788,0.02631578947368421,0.115470053838,0.346410161514
0.2894736842105263,0.02631578947368421,0.2,0.2
0.2894736842105263,0.02631578947368421,0.260768096208,0.260768096208
0.2894736842105263,0.02631578947368421,0.282842712475,0.141421356237
0.2894736842105263,0.02631578947368421,0.346410161514,0.115470053838
0.2894736842105263,0.02631578947368421,0.141421356237,0.282842712475
0.2894736842105263,0.02631578947368421,0.115470053838,0.346410161514
0.34210526315789475,0.02631578947368421,0.2,0.2
0.34210526315789475,0.02631578947368421,0.260768096208,0.260768096208
0.34210526315789475,0.02631578947368421,0.282842712475,0.141421356237
0.34210526315789475,0.02631578947368421,0.346410161514,0.115470053838
0.34210526315789475,0.02631578947368421,0.141421356237,0.282842712475
0.34210526315789475,0.02631578947368421,0.115470053838,0.346410161514
0.39473684210526316,0.02631578947368421,0.2,0.2
0.39473684210526316,0.02631578947368421,0.260768096208,0.260768096208
0.39473684210526316,0.02631578947368421,0.282842712475,0.141421356237
0.39473684210526316,0.02631578947368421,0.346410161514,0.115470053838
0.39473684210526316,0.02631578947368421,0.141421356237,0.282842712475
0.39473684210526316,0.02631578947368421,0.115470053838,0.346410161514
0.4473684210526316,0.02631578947368421,0.2,0.2
0.4473684210526316,0.02631578947368421,0.260768096208,0.260768096208
0.4473684210526316,0.02631578947368421,0.282842712475,0.141421356237
0.4473684210526316,0.02631578947368421,0.346410161514,0.115470053838
0.4473684210526316,0.02631578947368421,0.141421356237,0.282842712475
0.4473684210526316,0.02631578947368421,0.115470053838,0.346410161514
